Mesh,Class,Area,Volume,Compactness,Diameter,Sphericity,Eccentricity,Rectangularity,Convex Hull area,Convex Hull volume,Convex Hull V/S ratio,Hull Facets num,Convex Hull compactness
61.off,Airplane,0.4960780812666447,0.00969452776621919,11.48535503315989,1.0002962820862695,0.08706739992911448,27.34573373110486,0.08660275594845343,0.8192893906585114,0.034389465144042265,0.04197474730681111,32,4.111580303810309
62.off,Airplane,0.5559322401285891,0.014628120181597057,7.099637412920114,1.000852259294769,0.1408522635508361,23.091446994499073,0.09543176638497547,1.0576341733532448,0.04811962577000416,0.04549741960156239,38,4.51761866431041
63.off,Airplane,0.5433903177538596,0.013253980793915812,8.075894559567743,1.0000697734355406,0.12382529175238816,21.52324585788678,0.08619039350963185,1.0771822064920777,0.047343114595949254,0.043950888076888635,33,4.930619484633642
64.off,Airplane,0.6736079305397706,0.016020939061682702,10.52914882324945,1.0048474431635894,0.09497443874968284,31.829259895093873,0.08585165896553348,1.1593428840777316,0.06035549324333432,0.0520600885831526,29,3.782245560145313
65.off,Airplane,0.6257567515266669,0.013069417003979046,12.683871350993341,1.0000001197317416,0.07884028246010905,35.82990616332528,0.06810681094518356,1.277628277508407,0.0597000388222485,0.04672723660959803,12,5.1738275092266175
66.off,Airplane,0.7512884199455241,0.01278256260464072,22.947313782126106,1.0078229750422678,0.04357808541315673,60.38737455065883,0.08155978721195063,1.1791374128668806,0.047614414154502994,0.040380716984237064,12,6.393872829944114
67.off,Airplane,0.7929116934805047,0.018819366346198862,12.445492903611846,1.01757059164287,0.08035037324313501,33.781962661735825,0.08186784947395816,1.3075067225085952,0.06855959048439642,0.052435363661348766,21,4.204777196458065
68.off,Airplane,0.5472781105553676,0.009803888711630541,15.079089370916448,1.0637243713417168,0.06631700200203959,33.83776030986728,0.04517749268527391,1.168379168174841,0.05449296238347637,0.046639792858170694,11,4.74917535826484
69.off,Airplane,0.6240545639198075,0.012570817149828157,13.59841524742388,1.0002899470912672,0.07353798084592561,34.20314327296051,0.09662366576197688,1.114058316160671,0.04807342658389031,0.04315162490735996,22,5.290067862456203
70.off,Airplane,0.5155519245004837,0.007622164319382208,20.85490661336507,1.0020691717192096,0.047950346579789534,82.3011251543572,0.05984761403300412,0.9530848455072741,0.04322690264058444,0.04535472664826305,13,4.09669925638668
71.off,Airplane,0.5563609868167567,0.011234043710240863,12.065502505295916,1.0000320496285753,0.08288092431799418,27.97934883236023,0.06958167032544242,1.0820905371561476,0.04876363886061043,0.04506428730886661,24,4.711359144136344
72.off,Airplane,0.4906934112751965,0.00854251806207826,14.315499127314958,1.0001078349427823,0.06985435793097365,40.84208842967108,0.06443580171113855,1.008841279493213,0.041218806529045374,0.040857573304049835,23,5.343494093640984
73.off,Airplane,0.4825828755444225,0.008681344001135979,13.185281796809042,1.0006265084985535,0.07584214091215018,36.93997346531619,0.056034745224603985,1.0273596996982024,0.04330710225369307,0.0421537872922356,14,5.112071890949405
74.off,Airplane,0.4823995360319843,0.009758241357929626,10.423778146799368,1.0000422260089794,0.09593450531245727,35.46122695341061,0.07344370551569074,0.869458217227487,0.035486108372053675,0.04081404680400992,18,4.615056545308155
75.off,Airplane,0.8486794184595918,0.01849818754828513,15.79502363977217,1.0100473487876434,0.06331107966701494,34.84429532419866,0.10425851352499863,1.3465588001358268,0.0607325976309368,0.0451020762144295,16,5.853018273364577
76.off,Airplane,0.5933253921753421,0.014670101169384768,8.581440856746255,1.0079323638375968,0.11653054733971105,37.22189898279345,0.07640664244586709,1.101783743829986,0.05372575822979425,0.048762525795701485,25,4.097053176001876
